https://code4fukui.github.io/rdf/#imperial_era_name,https://code4fukui.github.io/rdf/#year,https://schema.org/category,https://code4fukui.github.io/rdf/#number_of_times
昭和,50,震度6弱,0
昭和,50,震度6強,0
昭和,50,震度7,0
昭和,50,震度不明,0
昭和,51,震度1,3
昭和,51,震度2,3
昭和,51,震度3,0
昭和,51,震度4,0
昭和,51,震度5弱,0
昭和,51,震度5強,0
昭和,51,震度6弱,0
昭和,51,震度6強,0
昭和,51,震度7,0
昭和,51,震度不明,0
昭和,52,震度1,1
昭和,52,震度2,0
昭和,52,震度3,0
昭和,52,震度4,0
昭和,52,震度5弱,0
昭和,52,震度5強,0
昭和,52,震度6弱,0
昭和,52,震度6強,0
昭和,52,震度7,0
昭和,52,震度不明,0
昭和,53,震度1,3
昭和,53,震度2,2
昭和,53,震度3,0
昭和,53,震度4,1
昭和,53,震度5弱,0
昭和,53,震度5強,0
昭和,53,震度6弱,0
昭和,53,震度6強,0
昭和,53,震度7,0
昭和,53,震度不明,0
昭和,54,震度1,3
昭和,54,震度2,1
昭和,54,震度3,1
昭和,54,震度4,0
昭和,54,震度5弱,0
昭和,54,震度5強,0
昭和,54,震度6弱,0
昭和,54,震度6強,0
昭和,54,震度7,0
昭和,54,震度不明,0
昭和,55,震度1,3
昭和,55,震度2,2
昭和,55,震度3,0
昭和,55,震度4,0
昭和,55,震度5弱,0
昭和,55,震度5強,0
昭和,55,震度6弱,0
昭和,55,震度6強,0
昭和,55,震度7,0
昭和,55,震度不明,0
昭和,56,震度1,2
昭和,56,震度2,0
昭和,56,震度3,0
昭和,56,震度4,0
昭和,56,震度5弱,0
昭和,56,震度5強,0
昭和,56,震度6弱,0
昭和,56,震度6強,0
昭和,56,震度7,0
昭和,56,震度不明,0
昭和,57,震度1,3
昭和,57,震度2,2
昭和,57,震度3,1
昭和,57,震度4,0
昭和,57,震度5弱,0
昭和,57,震度5強,0
昭和,57,震度6弱,0
昭和,57,震度6強,0
昭和,57,震度7,0
昭和,57,震度不明,0
昭和,58,震度1,9
昭和,58,震度2,3
昭和,58,震度3,2
昭和,58,震度4,0
昭和,58,震度5弱,0
昭和,58,震度5強,0
昭和,58,震度6弱,0
昭和,58,震度6強,0
昭和,58,震度7,0
昭和,58,震度不明,0
昭和,59,震度1,7
昭和,59,震度2,3
昭和,59,震度3,1
昭和,59,震度4,0
昭和,59,震度5弱,0
昭和,59,震度5強,0
昭和,59,震度6弱,0
昭和,59,震度6強,0
昭和,59,震度7,0
昭和,59,震度不明,0
昭和,60,震度1,5
昭和,60,震度2,3
昭和,60,震度3,2
昭和,60,震度4,0
昭和,60,震度5弱,0
昭和,60,震度5強,0
昭和,60,震度6弱,0
昭和,60,震度6強,0
昭和,60,震度7,0
昭和,60,震度不明,0
昭和,61,震度1,7
昭和,61,震度2,0
昭和,61,震度3,0
昭和,61,震度4,0
昭和,61,震度5弱,0
昭和,61,震度5強,0
昭和,61,震度6弱,0
昭和,61,震度6強,0
昭和,61,震度7,0
昭和,61,震度不明,0
昭和,62,震度1,4
昭和,62,震度2,3
昭和,62,震度3,0
昭和,62,震度4,0
昭和,62,震度5弱,0
昭和,62,震度5強,0
昭和,62,震度6弱,0
昭和,62,震度6強,0
昭和,62,震度7,0
昭和,62,震度不明,0
昭和,63,震度1,0
昭和,63,震度2,1
昭和,63,震度3,1
昭和,63,震度4,0
昭和,63,震度5弱,0
昭和,63,震度5強,0
昭和,63,震度6弱,0
昭和,63,震度6強,0
昭和,63,震度7,0
昭和,63,震度不明,0
平成,1,震度1,2
平成,1,震度2,2
平成,1,震度3,0
平成,1,震度4,0
平成,1,震度5弱,0
平成,1,震度5強,0
平成,1,震度6弱,0
平成,1,震度6強,0
平成,1,震度7,0
平成,1,震度不明,0
平成,2,震度1,3
平成,2,震度2,1
平成,2,震度3,0
平成,2,震度4,0
平成,2,震度5弱,0
平成,2,震度5強,0
平成,2,震度6弱,0
平成,2,震度6強,0
平成,2,震度7,0
平成,2,震度不明,0
平成,3,震度1,5
平成,3,震度2,0
平成,3,震度3,0
平成,3,震度4,0
平成,3,震度5弱,0
平成,3,震度5強,0
平成,3,震度6弱,0
平成,3,震度6強,0
平成,3,震度7,0
平成,3,震度不明,0
平成,4,震度1,2
平成,4,震度2,1
平成,4,震度3,1
平成,4,震度4,0
平成,4,震度5弱,0
平成,4,震度5強,0
平成,4,震度6弱,0
平成,4,震度6強,0
平成,4,震度7,0
平成,4,震度不明,0
平成,5,震度1,6
平成,5,震度2,2
平成,5,震度3,1
平成,5,震度4,0
平成,5,震度5弱,0
平成,5,震度5強,0
平成,5,震度6弱,0
平成,5,震度6強,0
平成,5,震度7,0
平成,5,震度不明,0
平成,6,震度1,7
平成,6,震度2,4
平成,6,震度3,1
平成,6,震度4,0
平成,6,震度5弱,0
平成,6,震度5強,0
平成,6,震度6弱,0
平成,6,震度6強,0
平成,6,震度7,0
平成,6,震度不明,0
平成,7,震度1,13
平成,7,震度2,8
平成,7,震度3,0
平成,7,震度4,1
平成,7,震度5弱,0
平成,7,震度5強,0
平成,7,震度6弱,0
平成,7,震度6強,0
平成,7,震度7,0
平成,7,震度不明,0
平成,8,震度1,12
平成,8,震度2,1
平成,8,震度3,1
平成,8,震度4,0
平成,8,震度5弱,0
平成,8,震度5強,0
平成,8,震度6弱,0
平成,8,震度6強,0
平成,8,震度7,0
平成,8,震度不明,0
平成,9,震度1,5
平成,9,震度2,5
平成,9,震度3,1
平成,9,震度4,1
平成,9,震度5弱,0
平成,9,震度5強,0
平成,9,震度6弱,0
平成,9,震度6強,0
平成,9,震度7,0
平成,9,震度不明,0
平成,10,震度1,10
平成,10,震度2,5
平成,10,震度3,2
平成,10,震度4,0
平成,10,震度5弱,0
平成,10,震度5強,0
平成,10,震度6弱,0
平成,10,震度6強,0
平成,10,震度7,0
平成,10,震度不明,0
平成,11,震度1,10
平成,11,震度2,4
平成,11,震度3,3
平成,11,震度4,1
平成,11,震度5弱,0
平成,11,震度5強,0
