https://schema.org/Place,https://code4fukui.github.io/rdf/#number_of_households,https://schema.org/gender,https://code4fukui.github.io/rdf/#population
粟田部町西山,199,男,291
粟田部町西山,199,女,304
粟田部町栄,164,男,239
粟田部町栄,164,女,224
粟田部町宝栄,104,男,154
粟田部町宝栄,104,女,151
粟田部町蓬莱,113,男,152
粟田部町蓬莱,113,女,167
粟田部町富永,157,男,222
粟田部町富永,157,女,218
粟田部町鞍谷,250,男,344
粟田部町鞍谷,250,女,369
粟田部町旭,121,男,165
粟田部町旭,121,女,188
今立西部工業団地,0,男,0
今立西部工業団地,0,女,0
不老町,146,男,265
不老町,146,女,256
大滝町,138,男,196
大滝町,138,女,215
岩本町,234,男,381
岩本町,234,女,354
新在家町,106,男,153
新在家町,106,女,164
定友町,153,男,230
定友町,153,女,242
杉尾町,55,男,77
杉尾町,55,女,96
轟井町,43,男,67
轟井町,43,女,75
島町,17,男,25
島町,17,女,30
長五町,10,男,18
長五町,10,女,18
大平町,9,男,10
大平町,9,女,14
八石町,13,男,14
八石町,13,女,16
中印町,13,男,18
中印町,13,女,18
別印町,27,男,33
別印町,27,女,46
南坂下町,19,男,23
南坂下町,19,女,27
野岡町,178,男,268
野岡町,178,女,310
マインドタウン,37,男,58
マインドタウン,37,女,59
山室町,94,男,157
山室町,94,女,157
富士見台,0,男,0
富士見台,0,女,0
下戸板,5,男,5
下戸板,5,女,7
東庄境町,115,男,184
東庄境町,115,女,185
西庄境町,94,男,148
西庄境町,94,女,145
赤坂町,108,男,154
赤坂町,108,女,159
新堂町,65,男,115
新堂町,65,女,118
国中町,64,男,117
国中町,64,女,133
中津山町,135,男,226
中津山町,135,女,208
仲山,42,男,75
仲山,42,女,77
朽飯町,107,男,173
朽飯町,107,女,169
高岡町,20,男,37
高岡町,20,女,35
藤木町,30,男,52
藤木町,30,女,48
領家町,30,男,39
領家町,30,女,41
春山町,24,男,46
春山町,24,女,38
東樫尾町,50,男,37
東樫尾町,50,女,63
波垣町,23,男,33
波垣町,23,女,37
寺地町,35,男,41
寺地町,35,女,46
横住町,67,男,101
横住町,67,女,107
清根町,7,男,8
清根町,7,女,11
相木町,17,男,27
相木町,17,女,30
西河内町,13,男,11
西河内町,13,女,20
室谷町,26,男,41
室谷町,26,女,40
長谷町,25,男,38
長谷町,25,女,31
北坂下町,17,男,35
北坂下町,17,女,38
殿町,5,男,7
殿町,5,女,7
大谷町,8,男,13
大谷町,8,女,15
南中町,12,男,18
南中町,12,女,23
赤谷町,25,男,29
赤谷町,25,女,35
水間町,15,男,25
水間町,15,女,20
柳元町,22,男,35
柳元町,22,女,31
市野々町,26,男,30
市野々町,26,女,28
